IFDM
Sigla;Código;Município;2006;2007;2008;2009;2010;
AL;2708303;São José da Laje;0,555084049;0,584909561;0,533393589;0,517076892;0,5107422895;
AL;2708402;São José da Tapera;0,381348638;0,413302412;0,43017534;0,468648555;0,4978624773;
AL;2708501;São Luís do Quitunde;0,487155342;0,482213856;0,49966814;0,515401341;0,5335106101;
AL;2708600;São Miguel dos Campos;0,545585726;0,546746558;0,554160851;0,565362943;0,5543405201;
AL;2708709;São Miguel dos Milagres;0,478433643;0,50633153;0,536619364;0,523940007;0,5599527839;
AL;2708808;São Sebastião;0,453360049;0,44964079;0,508581489;0,525654082;0,593723455;
AL;2708907;Satuba;0,590149417;0,606635925;0,610750056;0,650572537;0,655624721;
AL;2708956;Senador Rui Palmeira;0,407148943;0,439944305;0,474258558;0,473449657;0,4830676893;
AL;2709004;Tanque d'Arca;0,451013333;0,411803948;0,446176221;0,51463853;0,4802271505;
AL;2709103;Taquarana;0,510174319;0,545341534;0,559416296;0,57468832;0,6026201148;
AL;2709152;Teotônio Vilela;0,495175853;0,508615016;0,533592466;0,566040442;0,5787431314;
AL;2709202;Traipu;0,437237242;0,433070394;0,474210433;0,46786045;0,5116972652;
AL;2709301;União dos Palmares;0,508846377;0,501615051;0,539141604;0,530543027;0,5007392977;
AL;2709400;Viçosa;0,441965755;0,475532927;0,512810976;0,541962662;0,5434582213;
AM;1300029;Alvarães;0,443075908;0,448659443;0,403846705;0,471652261;0,5022309011;
AM;1300060;Amaturá;0,495803528;0,470111146;0,486934257;0,475182493;0,5348787849;
AM;1300086;Anamã;0,493179019;0,409363002;0,420845626;0,461600944;0,4884362056;
AM;1300102;Anori;0,468813218;0,447505645;0,48104585;0,493190435;0,5341837741;
AM;1300144;Apuí;0,483890868;0,575813942;0,599315137;0,60726437;0,6202562249;
AM;1300201;Atalaia do Norte;0,491450016;0,479476417;0,449829562;0,464700128;0,4201930368;
AM;1300300;Autazes;0,443846921;0,47809238;0,472446942;0,506562676;0,5500607603;
AM;1300409;Barcelos;0,501522081;0,448504053;0,532819034;0,449324502;0,4868540575;
AM;1300508;Barreirinha;0,469271091;0,490707487;0,493826617;0,511929626;0,5370427967;
AM;1300607;Benjamin Constant;0,459615897;0,46479789;0,606310305;0,452562526;0,4407472329;
AM;1300631;Beruri;0,390240093;0,453804741;0,456628067;0,383800531;;
AM;1300680;Boa Vista do Ramos;0,4737311;0,523468474;0,627583983;0,510879457;0,4861100827;
AM;1300706;Boca do Acre;0,517075648;0,488839364;0,606516105;0,526050805;0,5122899013;
AM;1300805;Borba;0,423456567;0,467366164;0,724364482;0,516517634;0,4928977225;
AM;1300839;Caapiranga;0,446323395;0,445530408;0,64114975;0,46281;0,467146297;
AM;1300904;Canutama;0,536505998;0,545145308;0,611320625;0,405392177;;
AM;1301001;Carauari;0,454125957;0,475135136;0,669730017;0,524348398;0,514719936;
AM;1301100;Careiro;0,463201321;0,496507318;0,6624178;0,535176152;0,5128834202;
AM;1301159;Careiro da Várzea;0,456440388;0,46385863;0,440727427;0,498859671;0,4652963943;
AM;1301209;Coari;0,538523575;0,660922867;0,495068516;0,57594456;0,5755081655;
AM;1301308;Codajás;0,473596214;0,53171173;0,500736027;0,47512035;0,4593213136;
AM;1301407;Eirunepé;0,456760775;0,433788861;0,718545585;0,486146511;0,4739023269;
AM;1301506;Envira;0,417133882;0,491682939;0,673790786;0,491479074;0,523938547;
AM;1301605;Fonte Boa;0,470423364;0,483952279;0,716564387;0,467119266;0,5686844191;
AM;1301654;Guajará;0,392041504;0,432985796;0,397319432;0,479862517;0,4708636404;
AM;1301704;Humaitá;0,524236451;0,562441795;0,554545191;0,544949759;0,5560761418;
AM;1301803;Ipixuna;0,447270177;0,427722394;0,722370627;0,491084094;0,4886201963;
AM;1301852;Iranduba;0,446021067;0,467905362;0,505250106;0,524661811;0,496849284;
AM;1301902;Itacoatiara;0,480791387;0,514590282;0,47279379;0,585886407;0,583105274;
AM;1301951;Itamarati;0,437836209;0,480520151;0,488374227;0,475275202;0,514041925;
AM;1302009;Itapiranga;0,480951322;0,483443057;0,49038557;0,553618217;0,711798765;
AM;1302108;Japurá;0,368904238;0,461732;0,401808685;0,434588084;0,4348652121;
AM;1302207;Juruá;0,423051468;0,472650762;0,440966078;0,50232453;0,5159546875;
AM;1302306;Jutaí;0,407616591;0,44558453;0,373710422;0,522705022;0,5467460671;
AM;1302405;Lábrea;0,481033919;0,447977789;0,441171945;0,433213689;0,4226108969;
AM;1302504;Manacapuru;0,516848524;0,591322221;0,563983807;0,502331939;0,5555990768;
AM;1302553;Manaquiri;0,390290612;0,390432978;0,444556783;0,519075123;0,583984136;
AM;1302603;Manaus;0,742909268;0,740655843;0,758934339;0,679845464;0,704330288;
AM;1302702;Manicoré;0,45413003;0,476277951;0,51854641;0,537122542;0,5548852203;
AM;1302801;Maraã;0,375699684;0,455880452;0,407282657;0,502733619;0,4798422483;
AM;1302900;Maués;0,3866295;0,433310315;0,469321132;0,4351715;0,4882281644;
AM;1303007;Nhamundá;0,42623783;0,445457873;0,418066035;0,48756149;0,4737704192;
AM;1303106;Nova Olinda do Norte;0,417273952;0,442232753;0,463364962;0,466407334;0,4628933699;
AM;1303205;Novo Airão;0,469661591;0,500205875;0,534094439;0,544865697;0,4999669124;
AM;1303304;Novo Aripuanã;0,391576028;0,525333546;0,436381754;0,440797378;0,4801438435;
AM;1303403;Parintins;0,534357609;0,5488081;0,564578409;0,586192138;0,5728152465;
AM;1303502;Pauini;0,432000386;0,416509735;0,361314798;0,458446218;0,4655231385;
AM;1303536;Presidente Figueiredo;0,660794089;0,616560656;0,676755636;0,671761169;0,6946153432;
AM;1303569;Rio Preto da Eva;0,511232567;0,55841501;0,48799689;0,51265834;0,4607736596;
AM;1303601;Santa Isabel do Rio Negro;0,418062384;0,442039433;0,44423607;0,478012858;0,4989710186;
AM;1303700;Santo Antônio do Içá;0,381069752;0,437937298;0,497214584;0,528820941;0,4786604395;
AM;1303809;São Gabriel da Cachoeira;0,457349727;0,45260874;0,426173845;0,542050016;0,4923815988;
AM;1303908;São Paulo de Olivença;0,475808997;0,553850141;0,506977897;0,531643358;0,3979110616;
AM;1303957;São Sebastião do Uatumã;0,581472208;0,466692554;0,53118518;0,587219194;0,5643475842;
AM;1304005;Silves;0,531065219;0,473328646;0,511577912;0,594075698;0,5586932111;
AM;1304062;Tabatinga;0,474422334;0,545069061;0,502470613;0,534475617;0,493021205;
AM;1304104;Tapauá;0,438483909;0,474629502;0,447998083;0,501126878;0,4734340699;
AM;1304203;Tefé;0,519711621;0,545683905;0,481803389;0,52412809;0,573387875;
AM;1304237;Tonantins;0,335714451;0,372627607;0,411043147;0,558834688;0,4788646641;
AM;1304260;Uarini;0,451456695;0,456692783;0,381596743;0,425037905;0,5025476952;
AM;1304302;Urucará;0,487950572;0,49837809;0,528059341;0,600224641;0,6054364937;
AM;1304401;Urucurituba;0,446595846;0,48322055;0,458813672;0,48504403;0,4864936375;
AP;1600055;Serra do Navio;0,610135169;0,606559385;0,618728721;0,60033431;0,5164740266;
AP;1600105;Amapá;0,481652722;0,461985227;0,520019782;0,493306963;0,5718076125;
AP;1600154;Pedra Branca do Amaparí;0,684217296;0,572125421;0,631810734;0,560134451;0,5858184784;
AP;1600204;Calçoene;0,502629015;0,483506505;0,546517828;0,492301739;0,5328393699;
AP;1600212;Cutias;0,380125779;0,444383878;0,623609154;0,490320725;0,464282573;
AP;1600238;Ferreira Gomes;0,467054908;0,442219275;0,767440716;0,520085198;0,5714061507;
AP;1600253;Itaubal;0,542197941;0,431160948;0,46584478;0,461602844;0,4424313756;
AP;1600279;Laranjal do Jari;0,488257522;0,505755495;0,468862538;0,51456991;0,5477660561;
AP;1600303;Macapá;0,688974534;0,696383219;0,712261191;0,699128066;0,7193642419;
AP;1600402;Mazagão;0,517563674;0,55435323;0,539836537;0,522200487;0,5133662251;
AP;1600501;Oiapoque;0,464562584;0,431235566;0,509588236;0,565576162;0,5687681836;
AP;1600535;Porto Grande;0,486110182;0,542253814;0,555308066;0,547490034;0,5465658753;
AP;1600550;Pracuúba;0,458884711;0,453742647;0,504277517;0,515049223;0,5150286532;
